Code for Pictures,Category,Product,Finish,Width,Height & Depth,Drawers,Style,Species, Price ,Colors,Description
P-SERV-PVS-59-42-WF,Buffets & Sideboards,Penns Creek Shaker Server,Finished,42,42h 18d,2,Penn Valley,Oak," $2,044.99 ",TBD,"The Penn Valley Shaker server has a timeless style that is fitting and beautiful in both traditional and contemporary settings.  The drawers are dovetailed and have full extension glides with a soft close feature.  The server is constructed in solid oak, maple, and cherry.  The server pictured is built in maple."
P-SERV-PVS-59-42-WF,Buffets & Sideboards,Penns Creek Shaker Server,Finished,59-1/2,42h 18d,3,Penn Valley,Oak," $2,649.99 ",TBD,
P-SERV-PVS-59-42-WF,Buffets & Sideboards,Penns Creek Shaker Server,Finished,42,42h 18d,2,Penn Valley,Maple," $2,164.99 ",TBD,
P-SERV-PVS-59-42-WF,Buffets & Sideboards,Penns Creek Shaker Server,Finished,59-1/2,42h 18d,3,Penn Valley,Maple," $2,814.99 ",TBD,
P-SERV-PVS-59-42-WF,Buffets & Sideboards,Penns Creek Shaker Server,Finished,42,42h 18d,2,Penn Valley,Cherry," $2,249.99 ",TBD,
P-SERV-PVS-59-42-WF,Buffets & Sideboards,Penns Creek Shaker Server,Finished,59-1/2,42h 18d,3,Penn Valley,Cherry," $3,119.90 ",TBD,
P-SERV-PVS-59-42-WF,Buffets & Sideboards,Penns Creek Shaker Server,Finished,42,42h 18d,2,Penn Valley,Maple - Painted," $2,379.99 ",TBD,
P-SERV-PVS-59-42-WF,Buffets & Sideboards,Penns Creek Shaker Server,Finished,59-1/2,42h 18d,3,Penn Valley,Maple - Painted," $3,089.99 ",TBD,
P-SDBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Sideboard,Finished,37,34h 19d,2,Shaker,Oak," $2,354.99 ",TBD,"The Penns Creek Shaker sideboard has a timeless style that is fitting and beautiful in both traditional and contemporary settings.  The drawers are dovetailed and have full extension glides with a soft close feature.  The sideboard is constructed in solid oak, maple, and cherry.  The sideboard pictured is built in maple."
P-SDBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Sideboard,Finished,51,34h 19d,3,Shaker,Oak," $3,014.99 ",TBD,
P-SDBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Sideboard,Finished,60,34h 19d,5,Shaker,Oak," $3,579.99 ",TBD,
P-SDBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Sideboard,Finished,37,34h 19d,2,Shaker,Maple," $2,499.99 ",TBD,
P-SDBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Sideboard,Finished,51,34h 19d,3,Shaker,Maple," $3,194.99 ",TBD,
P-SDBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Sideboard,Finished,60,34h 19d,5,Shaker,Maple," $3,794.99 ",TBD,
P-SDBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Sideboard,Finished,37,34h 19d,2,Shaker,Cherry," $2,714.99 ",TBD,
P-SDBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Sideboard,Finished,51,34h 19d,3,Shaker,Cherry," $3,284.99 ",TBD,
P-SDBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Sideboard,Finished,60,34h 19d,5,Shaker,Cherry," $3,794.99 ",TBD,
P-SDBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Sideboard,Finished,37,34h 19d,2,Shaker,Maple - Painted," $2,749.99 ",TBD,
P-SDBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Sideboard,Finished,51,34h 19d,3,Shaker,Maple - Painted," $3,514.99 ",TBD,
P-SDBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Sideboard,Finished,60,34h 19d,5,Shaker,Maple - Painted," $4,169.99 ",TBD,
P-SDBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Sideboard,Finished,37,34h 19d,2,Colonial,Oak," $2,354.99 ",TBD,"The Penns Creek Colonial sideboard has classic, historic lines with base molding.  The drawers are dovetailed and have full extension glides with a soft close feature.  The sideboard is constructed in solid oak, maple, and cherry.  The sideboard pictured is built in maple."
P-SDBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Sideboard,Finished,51,34h 19d,3,Colonial,Oak," $3,014.99 ",TBD,
P-SDBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Sideboard,Finished,60,34h 19d,5,Colonial,Oak," $3,579.99 ",TBD,
P-SDBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Sideboard,Finished,37,34h 19d,2,Colonial,Maple," $2,499.99 ",TBD,
P-SDBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Sideboard,Finished,51,34h 19d,3,Colonial,Maple," $3,194.99 ",TBD,
P-SDBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Sideboard,Finished,60,34h 19d,5,Colonial,Maple," $3,794.99 ",TBD,
P-SDBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Sideboard,Finished,37,34h 19d,2,Colonial,Cherry," $2,714.99 ",TBD,
P-SDBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Sideboard,Finished,51,34h 19d,3,Colonial,Cherry," $3,284.99 ",TBD,
P-SDBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Sideboard,Finished,60,34h 19d,5,Colonial,Cherry," $3,794.99 ",TBD,
P-SDBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Sideboard,Finished,37,34h 19d,2,Colonial,Maple - Painted," $2,749.99 ",TBD,
P-SDBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Sideboard,Finished,51,34h 19d,3,Colonial,Maple - Painted," $3,514.99 ",TBD,
P-SDBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Sideboard,Finished,60,34h 19d,5,Colonial,Maple - Painted," $4,169.99 ",TBD,
P-SDBD-M-51-34-WF,Buffets & Sideboards,Penns Creek Mission Sideboard,Finished,37,34h 19d,2,Mission,Oak," $2,594.99 ",TBD,"The Penns Creek Mission sideboard was influenced by the Arts & Crafts Movement that sought to leave behind the overly ornate style of the Victorian era.  The Mission style is defined by simple,straight line construction.  The drawers are dovetailed and have full extension glides with a soft close feature.The sideboard is constructed in solid oak, maple, and cherry.  The sideboard pictured is built in cherry."
P-SDBD-M-51-34-WF,Buffets & Sideboards,Penns Creek Mission Sideboard,Finished,51,34h 19d,3,Mission,Oak," $3,314.99 ",TBD,
P-SDBD-M-51-34-WF,Buffets & Sideboards,Penns Creek Mission Sideboard,Finished,60,34h 19d,5,Mission,Oak," $3,934.99 ",TBD,
P-SDBD-M-51-34-WF,Buffets & Sideboards,Penns Creek Mission Sideboard,Finished,37,34h 19d,2,Mission,Maple," $2,749.99 ",TBD,
P-SDBD-M-51-34-WF,Buffets & Sideboards,Penns Creek Mission Sideboard,Finished,51,34h 19d,3,Mission,Maple," $3,514.99 ",TBD,
P-SDBD-M-51-34-WF,Buffets & Sideboards,Penns Creek Mission Sideboard,Finished,60,34h 19d,5,Mission,Maple," $4,174.99 ",TBD,
P-SDBD-M-51-34-WF,Buffets & Sideboards,Penns Creek Mission Sideboard,Finished,37,34h 19d,2,Mission,Cherry," $2,984.99 ",TBD,
P-SDBD-M-51-34-WF,Buffets & Sideboards,Penns Creek Mission Sideboard,Finished,51,34h 19d,3,Mission,Cherry," $3,614.99 ",TBD,
P-SDBD-M-51-34-WF,Buffets & Sideboards,Penns Creek Mission Sideboard,Finished,60,34h 19d,5,Mission,Cherry," $4,174.99 ",TBD,
P-SDBD-M-51-34-WF,Buffets & Sideboards,Penns Creek Mission Sideboard,Finished,37,34h 19d,2,Mission,Maple - Painted," $3,024.99 ",TBD,
P-SDBD-M-51-34-WF,Buffets & Sideboards,Penns Creek Mission Sideboard,Finished,51,34h 19d,3,Mission,Maple - Painted," $3,864.99 ",TBD,
P-SDBD-M-51-34-WF,Buffets & Sideboards,Penns Creek Mission Sideboard,Finished,60,34h 19d,5,Mission,Maple - Painted," $4,589.99 ",TBD,
P-BUF-S-51-38-WF,Buffets & Sideboards,Penns Creek Shaker Buffet,Finished,37,38h 19d,2,Shaker,Oak," $2,224.99 ",TBD,"The Penns Creek Shaker buffet has a timeless style that is fitting and beautiful in both traditional and contemporary settings.  The drawers are dovetailed and have full extension glides with a soft close feature.  The buffet is constructed in solid oak, maple, and cherry.  The buffet pictured is built in oak."
P-BUF-S-51-38-WF,Buffets & Sideboards,Penns Creek Shaker Buffet,Finished,51,38h 19d,3,Shaker,Oak," $2,949.99 ",TBD,
P-BUF-S-51-38-WF,Buffets & Sideboards,Penns Creek Shaker Buffet,Finished,60,38h 19d,3,Shaker,Oak," $3,114.99 ",TBD,
P-BUF-S-51-38-WF,Buffets & Sideboards,Penns Creek Shaker Buffet,Finished,37,38h 19d,2,Shaker,Maple," $2,359.99 ",TBD,
P-BUF-S-51-38-WF,Buffets & Sideboards,Penns Creek Shaker Buffet,Finished,51,38h 19d,3,Shaker,Maple," $3,129.99 ",TBD,
P-BUF-S-51-38-WF,Buffets & Sideboards,Penns Creek Shaker Buffet,Finished,60,38h 19d,3,Shaker,Maple," $3,299.99 ",TBD,
P-BUF-S-51-38-WF,Buffets & Sideboards,Penns Creek Shaker Buffet,Finished,37,38h 19d,2,Shaker,Cherry," $2,559.99 ",TBD,
P-BUF-S-51-38-WF,Buffets & Sideboards,Penns Creek Shaker Buffet,Finished,51,38h 19d,3,Shaker,Cherry," $3,179.99 ",TBD,
P-BUF-S-51-38-WF,Buffets & Sideboards,Penns Creek Shaker Buffet,Finished,60,38h 19d,3,Shaker,Cherry," $3,389.99 ",TBD,
P-BUF-S-51-38-WF,Buffets & Sideboards,Penns Creek Shaker Buffet,Finished,37,38h 19d,2,Shaker,Maple - Painted," $2,594.99 ",TBD,
P-BUF-S-51-38-WF,Buffets & Sideboards,Penns Creek Shaker Buffet,Finished,51,38h 19d,3,Shaker,Maple - Painted," $3,439.99 ",TBD,
P-BUF-S-51-38-WF,Buffets & Sideboards,Penns Creek Shaker Buffet,Finished,60,38h 19d,3,Shaker,Maple - Painted," $3,629.99 ",TBD,
P-BUF-C-51-38-WF,Buffets & Sideboards,Penns Creek Colonial Buffet,Finished,37,38h 19d,2,Colonial,Oak," $2,224.99 ",TBD,"The Penns Creek Colonial buffet has classic, historic lines.  The drawers are dovetailed and have full extension glides with a soft close feature.  The buffet is constructed in solid oak, maple, and cherry.  The buffet pictured is built in cherry."
P-BUF-C-51-38-WF,Buffets & Sideboards,Penns Creek Colonial Buffet,Finished,51,38h 19d,3,Colonial,Oak," $2,949.99 ",TBD,
P-BUF-C-51-38-WF,Buffets & Sideboards,Penns Creek Colonial Buffet,Finished,60,38h 19d,3,Colonial,Oak," $3,114.99 ",TBD,
P-BUF-C-51-38-WF,Buffets & Sideboards,Penns Creek Colonial Buffet,Finished,37,38h 19d,2,Colonial,Maple," $2,359.99 ",TBD,
P-BUF-C-51-38-WF,Buffets & Sideboards,Penns Creek Colonial Buffet,Finished,51,38h 19d,3,Colonial,Maple," $3,129.99 ",TBD,
P-BUF-C-51-38-WF,Buffets & Sideboards,Penns Creek Colonial Buffet,Finished,60,38h 19d,3,Colonial,Maple," $3,299.99 ",TBD,
P-BUF-C-51-38-WF,Buffets & Sideboards,Penns Creek Colonial Buffet,Finished,37,38h 19d,2,Colonial,Cherry," $2,559.99 ",TBD,
P-BUF-C-51-38-WF,Buffets & Sideboards,Penns Creek Colonial Buffet,Finished,51,38h 19d,3,Colonial,Cherry," $3,179.99 ",TBD,
P-BUF-C-51-38-WF,Buffets & Sideboards,Penns Creek Colonial Buffet,Finished,60,38h 19d,3,Colonial,Cherry," $3,389.99 ",TBD,
P-BUF-C-51-38-WF,Buffets & Sideboards,Penns Creek Colonial Buffet,Finished,37,38h 19d,2,Colonial,Maple - Painted," $2,594.99 ",TBD,
P-BUF-C-51-38-WF,Buffets & Sideboards,Penns Creek Colonial Buffet,Finished,51,38h 19d,3,Colonial,Maple - Painted," $3,439.99 ",TBD,
P-BUF-C-51-38-WF,Buffets & Sideboards,Penns Creek Colonial Buffet,Finished,60,38h 19d,3,Colonial,Maple - Painted," $3,629.99 ",TBD,
P-BUF-M-51-38-WF,Buffets & Sideboards,Penns Creek Mission Buffet,Finished,37,38h 19d,2,Mission,Oak," $2,449.99 ",TBD,"The Penns Creek Mission buffet was influenced by the Arts & Crafts Movement that sought to leave behind the overly ornate style of the Victorian era.  The Mission style is defined by simple,straight line construction.  The drawers are dovetailed and have full extension glides with a soft close feature.  The buffet is constructed in solid oak, maple, and cherry.  The buffet pictured is built in oak."
P-BUF-M-51-38-WF,Buffets & Sideboards,Penns Creek Mission Buffet,Finished,51,38h 19d,3,Mission,Oak," $3,249.99 ",TBD,
P-BUF-M-51-38-WF,Buffets & Sideboards,Penns Creek Mission Buffet,Finished,60,38h 19d,3,Mission,Oak," $3,424.99 ",TBD,
P-BUF-M-51-38-WF,Buffets & Sideboards,Penns Creek Mission Buffet,Finished,37,38h 19d,2,Mission,Maple," $2,594.99 ",TBD,
P-BUF-M-51-38-WF,Buffets & Sideboards,Penns Creek Mission Buffet,Finished,51,38h 19d,3,Mission,Maple," $3,444.99 ",TBD,
P-BUF-M-51-38-WF,Buffets & Sideboards,Penns Creek Mission Buffet,Finished,60,38h 19d,3,Mission,Maple," $3,629.99 ",TBD,
P-BUF-M-51-38-WF,Buffets & Sideboards,Penns Creek Mission Buffet,Finished,37,38h 19d,2,Mission,Cherry," $2,824.99 ",TBD,
P-BUF-M-51-38-WF,Buffets & Sideboards,Penns Creek Mission Buffet,Finished,51,38h 19d,3,Mission,Cherry," $3,499.99 ",TBD,
P-BUF-M-51-38-WF,Buffets & Sideboards,Penns Creek Mission Buffet,Finished,60,38h 19d,3,Mission,Cherry," $3,724.99 ",TBD,
P-BUF-M-51-38-WF,Buffets & Sideboards,Penns Creek Mission Buffet,Finished,37,38h 19d,2,Mission,Maple - Painted," $2,859.99 ",TBD,
P-BUF-M-51-38-WF,Buffets & Sideboards,Penns Creek Mission Buffet,Finished,51,38h 19d,3,Mission,Maple - Painted," $3,794.99 ",TBD,
P-BUF-M-51-38-WF,Buffets & Sideboards,Penns Creek Mission Buffet,Finished,60,38h 19d,3,Mission,Maple - Painted," $3,994.99 ",TBD,
P-BUF-RB-51-38-WF,Buffets & Sideboards,Penns Creek Reclaimed Barnwood Buffet,Finished,51,38h 19d,2,Reclaimed Barnwood,Pine," $1,824.99 ",TBD,"The Reclaimed Barnwood Buffet is part of the Penns Creek Reclaimed Barnwood Collection.  Each buffet is unique and one of a kind as they are constructed in the reclaimed pine barnwood of the granary walls, siding, and timbers from times past."
P-HTBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Huntboard,Finished,51,34h 16-3/4d,2,Shaker,Oak," $2,049.99 ",TBD,"The Penns Creek Shaker huntboard has a timeless style that is fitting and beautiful in both traditional and contemporary settings.  The drawers are dovetailed and have full extension glides with a soft close feature.  The huntboard is constructed in solid oak, maple, and cherry. The huntboard pictured is built in oak."
P-HTBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Huntboard,Finished,60,34h 16-3/4d,3,Shaker,Oak," $2,389.99 ",TBD,
P-HTBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Huntboard,Finished,51,34h 16-3/4d,2,Shaker,Maple," $2,169.99 ",TBD,
P-HTBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Huntboard,Finished,60,34h 16-3/4d,3,Shaker,Maple," $2,534.99 ",TBD,
P-HTBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Huntboard,Finished,51,34h 16-3/4d,2,Shaker,Cherry," $2,314.99 ",TBD,
P-HTBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Huntboard,Finished,60,34h 16-3/4d,3,Shaker,Cherry," $2,869.99 ",TBD,
P-HTBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Huntboard,Finished,51,34h 16-3/4d,2,Shaker,Maple - Painted," $2,389.99 ",TBD,
P-HTBD-S-51-34-WF,Buffets & Sideboards,Penns Creek Shaker Huntboard,Finished,60,34h 16-3/4d,3,Shaker,Maple - Painted," $2,789.99 ",TBD,
P-HTBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Huntboard,Finished,51,34h 16-3/4d,2,Colonial,Oak," $2,049.99 ",TBD,"The Penns Creek Colonial huntboard has classic, historic lines.  The drawers are dovetailed and have full extension glides with a soft close feature.  The huntboard is constructed in solid oak, maple, and cherry.  The huntboard pictured is built in maple."
P-HTBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Huntboard,Finished,60,34h 16-3/4d,3,Colonial,Oak," $2,389.99 ",TBD,
P-HTBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Huntboard,Finished,51,34h 16-3/4d,2,Colonial,Maple," $2,169.99 ",TBD,
P-HTBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Huntboard,Finished,60,34h 16-3/4d,3,Colonial,Maple," $2,534.99 ",TBD,
P-HTBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Huntboard,Finished,51,34h 16-3/4d,2,Colonial,Cherry," $2,314.99 ",TBD,
P-HTBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Huntboard,Finished,60,34h 16-3/4d,3,Colonial,Cherry," $2,869.99 ",TBD,
P-HTBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Huntboard,Finished,51,34h 16-3/4d,2,Colonial,Maple - Painted," $2,389.99 ",TBD,
P-HTBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Huntboard,Finished,60,34h 16-3/4d,3,Colonial,Maple - Painted," $2,789.99 ",TBD,
P-HTBD-QA-60-34-WF,Buffets & Sideboards,Penns Creek Queen Anne Huntboard,Finished,51,34h 16-3/4d,2,Colonial,Oak," $2,339.99 ",TBD,"The Penns Creek Queen Anne huntboard is a throwback to a different time with its ornate, curved legs. The drawers are dovetailed and have full extension glides with a soft close feature.  The huntboard is constructed in solid oak, maple, and cherry.  The huntboard pictured is built in cherry."
P-HTBD-QA-60-34-WF,Buffets & Sideboards,Penns Creek Queen Anne Huntboard,Finished,60,34h 16-3/4d,3,Colonial,Oak," $2,679.99 ",TBD,
P-HTBD-QA-60-34-WF,Buffets & Sideboards,Penns Creek Queen Anne Huntboard,Finished,51,34h 16-3/4d,2,Colonial,Maple," $2,459.99 ",TBD,
P-HTBD-QA-60-34-WF,Buffets & Sideboards,Penns Creek Queen Anne Huntboard,Finished,60,34h 16-3/4d,3,Colonial,Maple," $2,824.99 ",TBD,
P-HTBD-QA-60-34-WF,Buffets & Sideboards,Penns Creek Queen Anne Huntboard,Finished,51,34h 16-3/4d,2,Colonial,Cherry," $2,599.99 ",TBD,
P-HTBD-QA-60-34-WF,Buffets & Sideboards,Penns Creek Queen Anne Huntboard,Finished,60,34h 16-3/4d,3,Colonial,Cherry," $3,159.99 ",TBD,
P-HTBD-QA-60-34-WF,Buffets & Sideboards,Penns Creek Queen Anne Huntboard,Finished,51,34h 16-3/4d,2,Colonial,Maple - Painted," $2,709.99 ",TBD,
P-HTBD-QA-60-34-WF,Buffets & Sideboards,Penns Creek Queen Anne Huntboard,Finished,60,34h 16-3/4d,3,Colonial,Maple - Painted," $3,109.99 ",TBD,